H,V,L,F,fla,Tree,name,absPAR,absNIR,absTherm,totPs,netPs,totRf,totLE1,totLE2,totH
15,0,4.402,0.4,0.1,925,H15_V0_L4.402_F0.4_fla0.1,0.1333,0.0464,0.1177,0.0251,0.0225,0.0026,2.5425,0.1535,0.1199
15,0,4.402,0.5,0.1,925,H15_V0_L4.402_F0.5_fla0.1,0.1355,0.0468,0.1165,0.0253,0.0227,0.0026,2.5871,0.1548,0.1198
15,0,4.402,0.65,0.1,925,H15_V0_L4.402_F0.65_fla0.1,0.1541,0.0512,0.1099,0.0271,0.0245,0.0026,2.7804,0.1654,0.1301
15,0,4.402,0.75,0.1,925,H15_V0_L4.402_F0.75_fla0.1,0.1854,0.0575,0.1061,0.0298,0.0271,0.0026,3.0606,0.1811,0.1525
15,0,4.402,0.85,0.1,925,H15_V0_L4.402_F0.85_fla0.1,0.2364,0.0678,0.097,0.0333,0.0307,0.0026,3.44,0.2022,0.191
15,0,4.402,0.95,0.1,925,H15_V0_L4.402_F0.95_fla0.1,0.3161,0.0836,0.0856,0.0377,0.0351,0.0026,3.9277,0.228,0.2572
15,0,4.402,1,0.1,925,H15_V0_L4.402_F1_fla0.1,0.363,0.0931,0.0821,0.0397,0.0371,0.0026,4.1805,0.2402,0.2998
15,0,4.402,1.05,0.1,925,H15_V0_L4.402_F1.05_fla0.1,0.4125,0.1031,0.0761,0.0417,0.0391,0.0026,4.4139,0.2518,0.3451
15,0,4.402,1.15,0.1,925,H15_V0_L4.402_F1.15_fla0.1,0.4957,0.1203,0.07,0.0445,0.0419,0.0026,4.7304,0.2683,0.4275
15,0,4.402,1.25,0.1,925,H15_V0_L4.402_F1.25_fla0.1,0.5416,0.1303,0.0655,0.0458,0.0432,0.0026,4.8484,0.2757,0.4755
15,0,4.402,1.35,0.1,925,H15_V0_L4.402_F1.35_fla0.1,0.5524,0.1332,0.0645,0.0461,0.0434,0.0026,4.8997,0.2772,0.4865
15,0,4.402,1.5,0.1,925,H15_V0_L4.402_F1.5_fla0.1,0.5517,0.1337,0.0636,0.046,0.0434,0.0026,4.9419,0.2771,0.484
15,0,4.402,1.6,0.1,925,H15_V0_L4.402_F1.6_fla0.1,0.5514,0.1339,0.0631,0.046,0.0434,0.0026,4.9606,0.2771,0.483
15,0,4.402,1.75,0.1,925,H15_V0_L4.402_F1.75_fla0.1,0.5514,0.1339,0.0632,0.046,0.0434,0.0026,4.9751,0.2771,0.4823
15,0,4.402,1.85,0.1,925,H15_V0_L4.402_F1.85_fla0.1,0.5514,0.1339,0.0632,0.046,0.0434,0.0026,4.9771,0.2771,0.4822
15,0,4.402,1.99,0.1,925,H15_V0_L4.402_F1.99_fla0.1,0.5514,0.1339,0.0632,0.046,0.0434,0.0026,4.971,0.2771,0.4825
15,0,5.485,0.01,0.1,1176,H15_V0_L5.485_F0.01_fla0.1,0.0735,0.0337,0.1278,0.0169,0.0143,0.0026,1.8886,0.1048,0.0836
15,0,5.485,0.15,0.1,1176,H15_V0_L5.485_F0.15_fla0.1,0.0774,0.035,0.1256,0.0175,0.0148,0.0026,1.9759,0.1081,0.0836
15,0,5.485,0.25,0.1,1176,H15_V0_L5.485_F0.25_fla0.1,0.0841,0.0372,0.1227,0.0185,0.0159,0.0026,2.0701,0.1142,0.0867
15,0,5.485,0.4,0.1,1176,H15_V0_L5.485_F0.4_fla0.1,0.0983,0.0409,0.1183,0.0205,0.0179,0.0026,2.2584,0.1265,0.0937
15,0,5.485,0.5,0.1,1176,H15_V0_L5.485_F0.5_fla0.1,0.1108,0.0443,0.1141,0.0222,0.0196,0.0026,2.4096,0.1362,0.1002
15,0,5.485,0.65,0.1,1176,H15_V0_L5.485_F0.65_fla0.1,0.1414,0.0512,0.1074,0.0256,0.023,0.0026,2.7424,0.1567,0.1187
15,0,5.485,0.75,0.1,1176,H15_V0_L5.485_F0.75_fla0.1,0.1774,0.059,0.1009,0.029,0.0263,0.0026,3.0807,0.1764,0.1431
15,0,5.485,0.85,0.1,1176,H15_V0_L5.485_F0.85_fla0.1,0.2307,0.0698,0.0924,0.0329,0.0303,0.0026,3.5029,0.1997,0.1828
15,0,5.485,0.95,0.1,1176,H15_V0_L5.485_F0.95_fla0.1,0.3112,0.086,0.0823,0.0374,0.0348,0.0026,4.0314,0.2267,0.2492
15,0,5.485,1,0.1,1176,H15_V0_L5.485_F1_fla0.1,0.3582,0.0953,0.0772,0.0396,0.0369,0.0026,4.2979,0.239,0.2901
15,0,5.485,1.05,0.1,1176,H15_V0_L5.485_F1.05_fla0.1,0.4079,0.1052,0.0715,0.0415,0.0389,0.0026,4.549,0.2508,0.3347
15,0,5.485,1.15,0.1,1176,H15_V0_L5.485_F1.15_fla0.1,0.4921,0.1224,0.0657,0.0444,0.0418,0.0026,4.8918,0.2677,0.417
15,0,5.485,1.25,0.1,1176,H15_V0_L5.485_F1.25_fla0.1,0.5392,0.1321,0.062,0.0458,0.0431,0.0026,5.0082,0.2755,0.4663
15,0,5.485,1.35,0.1,1176,H15_V0_L5.485_F1.35_fla0.1,0.5505,0.1347,0.0614,0.046,0.0434,0.0026,5.0448,0.277,0.4784
15,0,5.485,1.5,0.1,1176,H15_V0_L5.485_F1.5_fla0.1,0.5503,0.135,0.0609,0.046,0.0434,0.0026,5.0697,0.277,0.4771
15,0,5.485,1.6,0.1,1176,H15_V0_L5.485_F1.6_fla0.1,0.5502,0.135,0.0608,0.046,0.0434,0.0026,5.0781,0.277,0.4767
15,0,5.485,1.75,0.1,1176,H15_V0_L5.485_F1.75_fla0.1,0.5502,0.135,0.0608,0.046,0.0434,0.0026,5.0779,0.277,0.4767
15,0,5.485,1.85,0.1,1176,H15_V0_L5.485_F1.85_fla0.1,0.5503,0.135,0.0609,0.046,0.0434,0.0026,5.0759,0.277,0.4768
