"","H","V","L","F","fla","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"189",15,0.1,5.402,1.85,27,1201,"H15_V0.1_L5.402_F1.85_fla27",111.319966666667,29.5236,22.1744,11.4687666666667,10.7608333333333,0.708,802.742066666667,69.9985,113.804766666667
"190",15,0.1,5.402,1.99,27,1201,"H15_V0.1_L5.402_F1.99_fla27",111.323366666667,29.5188333333333,22.1836666666667,11.4688666666667,10.7609,0.708,802.911033333333,69.9991,113.799833333333
"191",15,0.25,0.44,0.01,27,105,"H15_V0.25_L0.44_F0.01_fla27",81.1291,21.9332,24.9118,10.2504,9.5425,0.708,1138.9535,8.0954,62.2916
"192",15,0.25,0.44,0.15,27,105,"H15_V0.25_L0.44_F0.15_fla27",88.1664666666667,23.3437666666667,24.6433666666667,10.5672,9.85926666666667,0.708,1179.85076666667,8.34403333333333,68.7270333333333
"193",15,0.25,0.44,0.25,27,105,"H15_V0.25_L0.44_F0.25_fla27",94.0454666666667,24.5268333333333,24.4709,10.8163,10.1083333333333,0.708,1210.7846,8.53976666666667,74.2886
"194",15,0.25,0.44,0.4,27,105,"H15_V0.25_L0.44_F0.4_fla27",100.545766666667,25.8411333333333,24.2869,11.0837,10.3757333333333,0.708,1240.06876666667,8.7499,80.6699
"195",15,0.25,0.44,0.5,27,105,"H15_V0.25_L0.44_F0.5_fla27",102.3407,26.1556666666667,23.543,11.1555666666667,10.4476,0.708,1243.89526666667,8.80583333333333,82.1123
"196",15,0.25,0.44,0.65,27,105,"H15_V0.25_L0.44_F0.65_fla27",103.3079,26.3716333333333,23.2793666666667,11.1880333333333,10.4800666666667,0.708,1248.97576666667,8.8311,82.9053
"197",15,0.25,0.44,0.75,27,105,"H15_V0.25_L0.44_F0.75_fla27",104.306233333333,26.5992333333333,23.1275666666667,11.2221333333333,10.5141333333333,0.708,1255.79526666667,8.85773333333333,83.7375333333333
"198",15,0.25,0.44,0.85,27,105,"H15_V0.25_L0.44_F0.85_fla27",105.528833333333,26.9214666666667,23.5423,11.2656,10.5576333333333,0.708,1264.66166666667,8.8924,85.1767666666667
"199",15,0.25,0.44,0.95,27,105,"H15_V0.25_L0.44_F0.95_fla27",107.009833333333,27.2453333333333,23.4475,11.3155333333333,10.6076,0.708,1273.0897,8.93196666666667,86.5525
"200",15,0.25,0.44,1,27,105,"H15_V0.25_L0.44_F1_fla27",107.751533333333,27.4035333333333,23.3511,11.3402666666667,10.6323333333333,0.708,1277.06296666667,8.95153333333333,87.2154666666667
"201",15,0.25,0.44,1.05,27,105,"H15_V0.25_L0.44_F1.05_fla27",108.4867,27.574,23.2739,11.3648,10.6568666666667,0.708,1280.9125,8.97096666666667,87.9069666666667
"202",15,0.25,0.44,1.15,27,105,"H15_V0.25_L0.44_F1.15_fla27",109.797,27.8233,23.1203666666667,11.4090333333333,10.7010333333333,0.708,1287.2881,9.00576666666667,89.0764
"203",15,0.25,0.44,1.25,27,105,"H15_V0.25_L0.44_F1.25_fla27",110.704066666667,28.0118666666667,23.0022666666667,11.4406333333333,10.7326666666667,0.708,1291.5123,9.03036666666667,89.9086666666667
"204",15,0.25,0.44,1.35,27,105,"H15_V0.25_L0.44_F1.35_fla27",111.394433333333,28.1591666666667,22.9423333333333,11.4645333333333,10.7565666666667,0.708,1294.42643333333,9.0489,90.5797
"205",15,0.25,0.44,1.5,27,105,"H15_V0.25_L0.44_F1.5_fla27",111.9526,28.2852333333333,22.8632666666667,11.4838666666667,10.7759,0.708,1297.28183333333,9.0639,91.0899666666667
"206",15,0.25,0.44,1.6,27,105,"H15_V0.25_L0.44_F1.6_fla27",112.181166666667,28.3544666666667,22.8302,11.4918333333333,10.7838666666667,0.708,1298.4528,9.07016666666667,91.3224
