"","H","V","L","F","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"91",15,0,5.485,1.5,1176,"H15_V0_L5.485_F1.5",160.7909,45.2054,40.7443,18.8711,17.6224,1.2486,2003.0596,114.2218,133.4152
"92",15,0,5.485,1.6,1176,"H15_V0_L5.485_F1.6",160.7826,45.2249,40.7019,18.8706,17.622,1.2486,2006.4087,114.2192,133.2581
"93",15,0,5.485,1.75,1176,"H15_V0_L5.485_F1.75",160.779,45.2331,40.6844,18.8705,17.6219,1.2486,2007.6199,114.2182,133.2009
"94",15,0,5.485,1.85,1176,"H15_V0_L5.485_F1.85",160.7804,45.2279,40.6949,18.8706,17.6219,1.2486,2007.4552,114.2187,133.2091
"95",15,0,5.485,1.99,1176,"H15_V0_L5.485_F1.99",160.7926,45.1983,40.7524,18.871,17.6223,1.2486,2006.2041,114.2212,133.273
"96",15,0.1,0.466,0.01,105,"H15_V0.1_L0.466_F0.01",117.389733333333,34.1274666666667,45.1527666666667,16.5456,15.2969333333333,1.2486,2101.94156666667,13.0647,76.5794333333333
"97",15,0.1,0.466,0.15,105,"H15_V0.1_L0.466_F0.15",127.715466666667,36.2051,44.8371666666667,17.1721,15.9234666666667,1.2486,2187.42196666667,13.5608666666667,84.9408666666667
"98",15,0.1,0.466,0.25,105,"H15_V0.1_L0.466_F0.25",134.087433333333,37.4841,44.6896,17.554,16.3054,1.2486,2238.42326666667,13.8611666666667,90.2064
"99",15,0.1,0.466,0.4,105,"H15_V0.1_L0.466_F0.4",138.334,38.3176666666667,44.0177666666667,17.8054666666667,16.5568666666667,1.2486,2268.8913,14.0571,93.4731
"100",15,0.1,0.466,0.5,105,"H15_V0.1_L0.466_F0.5",139.225766666667,38.4832666666667,43.9841333333333,17.8374666666667,16.5888666666667,1.2486,2274.36263333333,14.0821,94.2576666666667
"101",15,0.1,0.466,0.65,105,"H15_V0.1_L0.466_F0.65",141.675433333333,38.9819666666667,43.5414666666667,17.9333666666667,16.6847666666667,1.2486,2291.2242,14.1580666666667,96.1660666666667
"102",15,0.1,0.466,0.75,105,"H15_V0.1_L0.466_F0.75",144.886,39.6486666666667,43.2426,18.0883666666667,16.8397333333333,1.2486,2315.20336666667,14.2805,98.7821666666667
"103",15,0.1,0.466,0.85,105,"H15_V0.1_L0.466_F0.85",149.401166666667,40.5510333333333,43.0463,18.3055333333333,17.0569,1.2486,2348.35146666667,14.4522666666667,102.5825
"104",15,0.1,0.466,0.95,105,"H15_V0.1_L0.466_F0.95",154.1821,41.5848666666667,42.6151333333333,18.5339,17.2853,1.2486,2382.72486666667,14.6321333333333,106.6071
