"","H","V","L","F","fla","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"61",15,0,4.556,0.4,0.1,1013,"H15_V0_L4.556_F0.4_fla0.1",0.172,0.0553,0.1118,0.029,0.0263,0.0026,1.9013,0.1766,0.1927
"62",15,0,4.556,0.5,0.1,1013,"H15_V0_L4.556_F0.5_fla0.1",0.1825,0.058,0.109,0.0299,0.0273,0.0026,1.9668,0.1821,0.2012
"63",15,0,4.556,0.65,0.1,1013,"H15_V0_L4.556_F0.65_fla0.1",0.2066,0.0635,0.0972,0.0318,0.0292,0.0026,2.1103,0.1933,0.217
"64",15,0,4.556,0.75,0.1,1013,"H15_V0_L4.556_F0.75_fla0.1",0.2367,0.0693,0.0968,0.0339,0.0312,0.0026,2.2794,0.2055,0.2448
"65",15,0,4.556,0.85,0.1,1013,"H15_V0_L4.556_F0.85_fla0.1",0.283,0.0787,0.0931,0.0365,0.0338,0.0026,2.5029,0.2209,0.2881
"66",15,0,4.556,0.95,0.1,1013,"H15_V0_L4.556_F0.95_fla0.1",0.355,0.0932,0.0852,0.0397,0.0371,0.0026,2.7797,0.24,0.357
"67",15,0,4.556,1,0.1,1013,"H15_V0_L4.556_F1_fla0.1",0.3968,0.1015,0.0808,0.0413,0.0387,0.0026,2.8937,0.2494,0.3992
"68",15,0,4.556,1.05,0.1,1013,"H15_V0_L4.556_F1.05_fla0.1",0.4397,0.1107,0.0782,0.0428,0.0402,0.0026,2.9847,0.2583,0.4457
"69",15,0,4.556,1.15,0.1,1013,"H15_V0_L4.556_F1.15_fla0.1",0.5095,0.1248,0.072,0.045,0.0423,0.0026,3.0529,0.2708,0.5225
"70",15,0,4.556,1.25,0.1,1013,"H15_V0_L4.556_F1.25_fla0.1",0.5454,0.1327,0.07,0.0459,0.0433,0.0026,3.0773,0.2763,0.5641
"71",15,0,4.556,1.35,0.1,1013,"H15_V0_L4.556_F1.35_fla0.1",0.553,0.1347,0.0694,0.0461,0.0434,0.0026,3.0996,0.2772,0.5724
"72",15,0,4.556,1.5,0.1,1013,"H15_V0_L4.556_F1.5_fla0.1",0.5527,0.135,0.0688,0.0461,0.0434,0.0026,3.1307,0.2772,0.5707
"73",15,0,4.556,1.6,0.1,1013,"H15_V0_L4.556_F1.6_fla0.1",0.5521,0.1355,0.0678,0.046,0.0434,0.0026,3.1468,0.2772,0.5696
"74",15,0,4.556,1.75,0.1,1013,"H15_V0_L4.556_F1.75_fla0.1",0.5519,0.1357,0.0675,0.046,0.0434,0.0026,3.1637,0.2771,0.5687
"75",15,0,4.556,1.85,0.1,1013,"H15_V0_L4.556_F1.85_fla0.1",0.5519,0.1357,0.0674,0.046,0.0434,0.0026,3.1682,0.2771,0.5685
"76",15,0,4.556,1.99,0.1,1013,"H15_V0_L4.556_F1.99_fla0.1",0.5519,0.1357,0.0674,0.046,0.0434,0.0026,3.1704,0.2771,0.5684
"77",15,0,5.402,0.01,0.1,1201,"H15_V0_L5.402_F0.01_fla0.1",0.1187,0.0438,0.12,0.0233,0.0207,0.0026,1.6586,0.1423,0.144
"78",15,0,5.402,0.15,0.1,1201,"H15_V0_L5.402_F0.15_fla0.1",0.1346,0.0468,0.1194,0.0251,0.0225,0.0026,1.7509,0.1532,0.1582
"79",15,0,5.402,0.25,0.1,1201,"H15_V0_L5.402_F0.25_fla0.1",0.1448,0.0515,0.1043,0.0262,0.0236,0.0026,1.8074,0.1597,0.1617
"80",15,0,5.402,0.4,0.1,1201,"H15_V0_L5.402_F0.4_fla0.1",0.1652,0.0547,0.11,0.0283,0.0257,0.0026,1.9241,0.1722,0.1833
"81",15,0,5.402,0.5,0.1,1201,"H15_V0_L5.402_F0.5_fla0.1",0.1771,0.0572,0.1089,0.0294,0.0268,0.0026,1.9916,0.179,0.1941
"82",15,0,5.402,0.65,0.1,1201,"H15_V0_L5.402_F0.65_fla0.1",0.2042,0.0631,0.1039,0.0316,0.029,0.0026,2.1542,0.1922,0.2166
"83",15,0,5.402,0.75,0.1,1201,"H15_V0_L5.402_F0.75_fla0.1",0.2346,0.0696,0.0953,0.0337,0.0311,0.0026,2.3309,0.2046,0.2401
"84",15,0,5.402,0.85,0.1,1201,"H15_V0_L5.402_F0.85_fla0.1",0.2818,0.0791,0.092,0.0364,0.0338,0.0026,2.5583,0.2204,0.2844
"85",15,0,5.402,0.95,0.1,1201,"H15_V0_L5.402_F0.95_fla0.1",0.3541,0.0937,0.0842,0.0397,0.0371,0.0026,2.837,0.2399,0.3538
"86",15,0,5.402,1,0.1,1201,"H15_V0_L5.402_F1_fla0.1",0.3957,0.102,0.0797,0.0413,0.0386,0.0026,2.9545,0.2492,0.3954
"87",15,0,5.402,1.05,0.1,1201,"H15_V0_L5.402_F1.05_fla0.1",0.4388,0.1109,0.0776,0.0428,0.0402,0.0026,3.0544,0.2581,0.4416
"88",15,0,5.402,1.15,0.1,1201,"H15_V0_L5.402_F1.15_fla0.1",0.5088,0.1253,0.0711,0.0449,0.0423,0.0026,3.1319,0.2707,0.5184
"89",15,0,5.402,1.25,0.1,1201,"H15_V0_L5.402_F1.25_fla0.1",0.5449,0.1332,0.0691,0.0459,0.0433,0.0026,3.1614,0.2762,0.5599
"90",15,0,5.402,1.35,0.1,1201,"H15_V0_L5.402_F1.35_fla0.1",0.5524,0.1353,0.0683,0.0461,0.0434,0.0026,3.1827,0.2772,0.5682
"91",15,0,5.402,1.5,0.1,1201,"H15_V0_L5.402_F1.5_fla0.1",0.552,0.1356,0.0676,0.046,0.0434,0.0026,3.2009,0.2771,0.5671
"92",15,0,5.402,1.6,0.1,1201,"H15_V0_L5.402_F1.6_fla0.1",0.5519,0.1357,0.0675,0.046,0.0434,0.0026,3.2021,0.2771,0.567
"93",15,0,5.402,1.75,0.1,1201,"H15_V0_L5.402_F1.75_fla0.1",0.5519,0.1357,0.0675,0.046,0.0434,0.0026,3.1996,0.2771,0.5671
"94",15,0,5.402,1.85,0.1,1201,"H15_V0_L5.402_F1.85_fla0.1",0.5519,0.1357,0.0675,0.046,0.0434,0.0026,3.2006,0.2771,0.567
"95",15,0,5.402,1.99,0.1,1201,"H15_V0_L5.402_F1.99_fla0.1",0.5519,0.1357,0.0675,0.046,0.0434,0.0026,3.2011,0.2771,0.567
"96",15,0.1,0.44,0.01,0.1,105,"H15_V0.1_L0.44_F0.01_fla0.1",0.3941,0.0955666666666667,0.0745333333333333,0.0419666666666667,0.0393333333333333,0.0026,4.65906666666667,0.0331,0.305933333333333
"97",15,0.1,0.44,0.15,0.1,105,"H15_V0.1_L0.44_F0.15_fla0.1",0.4334,0.103966666666667,0.0764,0.0431666666666667,0.0405333333333333,0.0026,4.8558,0.0340333333333333,0.346166666666667
