H,V,L,F,fla,Tree,name,absPAR,absNIR,absTherm,totPs,netPs,totRf,totLE1,totLE2,totH
15,0,5.402,1.15,0.1,1201,H15_V0_L5.402_F1.15_fla0.1,0.5088,0.1253,0.0711,0.0449,0.0423,0.0026,3.1319,0.2707,0.5184
15,0,5.402,1.25,0.1,1201,H15_V0_L5.402_F1.25_fla0.1,0.5449,0.1332,0.0691,0.0459,0.0433,0.0026,3.1614,0.2762,0.5599
15,0,5.402,1.35,0.1,1201,H15_V0_L5.402_F1.35_fla0.1,0.5524,0.1353,0.0683,0.0461,0.0434,0.0026,3.1827,0.2772,0.5682
15,0,5.402,1.5,0.1,1201,H15_V0_L5.402_F1.5_fla0.1,0.552,0.1356,0.0676,0.046,0.0434,0.0026,3.2009,0.2771,0.5671
15,0,5.402,1.6,0.1,1201,H15_V0_L5.402_F1.6_fla0.1,0.5519,0.1357,0.0675,0.046,0.0434,0.0026,3.2021,0.2771,0.567
15,0,5.402,1.75,0.1,1201,H15_V0_L5.402_F1.75_fla0.1,0.5519,0.1357,0.0675,0.046,0.0434,0.0026,3.1996000000000002,0.2771,0.5671
15,0,5.402,1.85,0.1,1201,H15_V0_L5.402_F1.85_fla0.1,0.5519,0.1357,0.0675,0.046,0.0434,0.0026,3.2006,0.2771,0.567
15,0,5.402,1.99,0.1,1201,H15_V0_L5.402_F1.99_fla0.1,0.5519,0.1357,0.0675,0.046,0.0434,0.0026,3.2011,0.2771,0.567
15,0.1,0.44,0.01,0.1,105,H15_V0.1_L0.44_F0.01_fla0.1,0.3941,0.09556666666666666,0.07453333333333334,0.041966666666666666,0.03933333333333333,0.0026,4.659066666666667,0.0331,0.30593333333333333
15,0.1,0.44,0.15,0.1,105,H15_V0.1_L0.44_F0.15_fla0.1,0.4334,0.10396666666666667,0.0764,0.043166666666666666,0.04053333333333333,0.0026,4.8557999999999995,0.03403333333333333,0.3461666666666667
15,0.1,0.44,0.25,0.1,105,H15_V0.1_L0.44_F0.25_fla0.1,0.4628666666666667,0.10930000000000001,0.06976666666666667,0.04396666666666667,0.04136666666666667,0.0026,4.956833333333333,0.034633333333333335,0.3720333333333333
15,0.1,0.44,0.4,0.1,105,H15_V0.1_L0.44_F0.4_fla0.1,0.49143333333333333,0.1147,0.0716,0.04466666666666667,0.04206666666666667,0.0026,5.0554,0.035133333333333336,0.4026
15,0.1,0.44,0.5,0.1,105,H15_V0.1_L0.44_F0.5_fla0.1,0.49866666666666665,0.11606666666666667,0.07206666666666667,0.044833333333333336,0.0422,0.0026,5.0751333333333335,0.0353,0.4106
15,0.1,0.44,0.65,0.1,105,H15_V0.1_L0.44_F0.65_fla0.1,0.5056,0.11746666666666666,0.0721,0.045,0.0424,0.0026,5.113666666666667,0.0354,0.4172
15,0.1,0.44,0.75,0.1,105,H15_V0.1_L0.44_F0.75_fla0.1,0.5145333333333333,0.11933333333333333,0.0721,0.04516666666666667,0.04256666666666667,0.0026,5.160266666666667,0.03556666666666666,0.4259
15,0.1,0.44,0.85,0.1,105,H15_V0.1_L0.44_F0.85_fla0.1,0.5270666666666667,0.1219,0.0721,0.04546666666666667,0.042866666666666664,0.0026,5.2198,0.03576666666666667,0.4384
15,0.1,0.44,0.95,0.1,105,H15_V0.1_L0.44_F0.95_fla0.1,0.5402333333333333,0.1246,0.0721,0.045766666666666664,0.043133333333333336,0.0026,5.2771,0.036,0.4517333333333333
15,0.1,0.44,1,0.1,105,H15_V0.1_L0.44_F1_fla0.1,0.5452333333333333,0.12566666666666668,0.0721,0.04586666666666667,0.04326666666666667,0.0026,5.2979666666666665,0.036066666666666664,0.4569
15,0.1,0.44,1.05,0.1,105,H15_V0.1_L0.44_F1.05_fla0.1,0.5502666666666667,0.12666666666666665,0.0721,0.04596666666666667,0.043366666666666664,0.0026,5.3165000000000004,0.036166666666666666,0.46203333333333335
15,0.1,0.44,1.15,0.1,105,H15_V0.1_L0.44_F1.15_fla0.1,0.5568666666666666,0.12783333333333333,0.07093333333333333,0.0461,0.04346666666666667,0.0026,5.3361,0.03626666666666667,0.4680666666666667
15,0.1,0.44,1.25,0.1,105,H15_V0.1_L0.44_F1.25_fla0.1,0.5595666666666667,0.126,0.0579,0.04616666666666667,0.04356666666666666,0.0026,5.3046,0.0363,0.46136666666666665
15,0.1,0.44,1.35,0.1,105,H15_V0.1_L0.44_F1.35_fla0.1,0.5609333333333334,0.12626666666666667,0.0579,0.0462,0.0436,0.0026,5.310033333333333,0.0363,0.46276666666666666
15,0.1,0.44,1.5,0.1,105,H15_V0.1_L0.44_F1.5_fla0.1,0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.315666666666667,0.0363,0.4628333333333333
15,0.1,0.44,1.6,0.1,105,H15_V0.1_L0.44_F1.6_fla0.1,0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.3192,0.0363,0.46266666666666667
15,0.1,0.44,1.75,0.1,105,H15_V0.1_L0.44_F1.75_fla0.1,0.5602666666666667,0.1276,0.062,0.0462,0.04356666666666666,0.0026,5.333433333333333,0.0363,0.4654666666666667
15,0.1,0.44,1.85,0.1,105,H15_V0.1_L0.44_F1.85_fla0.1,0.5584,0.1302,0.0702,0.0462,0.0435,0.0026,5.3571333333333335,0.0363,0.47123333333333334
15,0.1,0.44,1.99,0.1,105,H15_V0.1_L0.44_F1.99_fla0.1,0.5584,0.1302,0.0702,0.0462,0.0435,0.0026,5.359866666666667,0.0363,0.47113333333333335
